Airline Code,Airline Name,Leg Duration (minutes),Flight Number,Departure Time,Departure Airport Code,Arrival Airport Code,Equipment Type,Aeoroport de Depart,Aeoroport d'Arrivee,Repas,Seat,Avion Name
AZ,ITA Airways,715,651,2024-08-31T16:40:00,YYZ,FCO,Airbus A330,Pearson Intl,Fiumicino,Meal provided,"31"" seat pitch",Airbus A330 (Wide-body jet)
AZ,ITA Airways,715,864,2024-09-01T09:15:00,FCO,TUN,Airbus A318/A319/A320/A321,Fiumicino,Carthage,Snacks provided,"30"" seat pitch",Airbus A318/A319/A320/A321 (Narrow-body jet)
MULT,Multiple airlines,775,752,2024-08-17T10:05:00,TUN,FCO,Airbus A320 (sharklets),Carthage,Fiumicino,Meal provided,"32"" seat pitch",Airbus A320 (sharklets) (Narrow-body jet)
MULT,Multiple airlines,775,309,2024-08-17T14:15:00,FCO,YYZ,Airbus A330-300,Fiumicino,Pearson Intl,Meal provided,"31"" seat pitch",Airbus A330-300 (Wide-body jet)
MULT,Multiple airlines,720,5943,2024-08-31T19:50:00,YYZ,FRA,Airbus A330-900neo,Pearson Intl,Frankfurt,Meal provided,"30"" seat pitch",Airbus A330-900neo (Wide-body jet)
MULT,Multiple airlines,720,247,2024-09-01T11:20:00,FRA,TUN,Airbus A320-100/200,Frankfurt,Carthage,Preorder meal (fee),,Airbus A320-100/200 (Narrow-body jet)
MULT,Multiple airlines,812,202,2024-08-17T09:00:00,TUN,YUL,Airbus A330-300,Carthage,Pierre Elliott Trudeau Intl,Meal provided,"31"" seat pitch",Airbus A330-300 (Wide-body jet)
MULT,Multiple airlines,812,126,2024-08-17T16:10:00,YUL,YYZ,Embraer 195 E2,Pierre Elliott Trudeau Intl,Pearson Intl,Snacks provided,"30"" seat pitch",Embraer 195 E2 (Narrow-body jet)
MULT,Multiple airlines,720,5943,2024-08-31T19:50:00,YYZ,FRA,Airbus A330-900neo,Pearson Intl,Frankfurt,Meal provided,"30"" seat pitch",Airbus A330-900neo (Wide-body jet)
MULT,Multiple airlines,720,247,2024-09-01T11:20:00,FRA,TUN,Airbus A320-100/200,Frankfurt,Carthage,Preorder meal (fee),,Airbus A320-100/200 (Narrow-body jet)
MULT,Multiple airlines,812,202,2024-08-17T09:00:00,TUN,YUL,Airbus A330-300,Carthage,Pierre Elliott Trudeau Intl,Meal provided,"31"" seat pitch",Airbus A330-300 (Wide-body jet)
MULT,Multiple airlines,812,7826,2024-08-17T16:10:00,YUL,YYZ,Embraer 195 E2,Pierre Elliott Trudeau Intl,Pearson Intl,Snacks provided,"30"" seat pitch",Embraer 195 E2 (Narrow-body jet)
MULT,Multiple airlines,720,5943,2024-08-31T19:50:00,YYZ,FRA,Airbus A330-900neo,Pearson Intl,Frankfurt,Meal provided,"30"" seat pitch",Airbus A330-900neo (Wide-body jet)
MULT,Multiple airlines,720,247,2024-09-01T11:20:00,FRA,TUN,Airbus A320-100/200,Frankfurt,Carthage,Preorder meal (fee),,Airbus A320-100/200 (Narrow-body jet)
AF,Air France,870,1285,2024-08-17T11:45:00,TUN,CDG,Airbus A319,Carthage,Charles de Gaulle,Light meal provided,,Airbus A319 (Narrow-body jet)
AF,Air France,870,386,2024-08-17T18:55:00,CDG,YYZ,Boeing 777-300ER,Charles de Gaulle,Pearson Intl,Meal provided,"31"" seat pitch",Boeing 777-300ER (Wide-body jet)
AF,Air France,670,387,2024-08-31T23:30:00,YYZ,CDG,Boeing 777-300ER,Pearson Intl,Charles de Gaulle,Meals provided,"31"" seat pitch",Boeing 777-300ER (Wide-body jet)
AF,Air France,670,1584,2024-09-01T14:10:00,CDG,TUN,Airbus A321-100/200,Charles de Gaulle,Carthage,Light meal provided,,Airbus A321-100/200 (Narrow-body jet)
AF,Air France,870,1285,2024-08-17T11:45:00,TUN,CDG,Airbus A319,Carthage,Charles de Gaulle,Light meal provided,,Airbus A319 (Narrow-body jet)
AF,Air France,870,386,2024-08-17T18:55:00,CDG,YYZ,Boeing 777-300ER,Charles de Gaulle,Pearson Intl,Meal provided,"31"" seat pitch",Boeing 777-300ER (Wide-body jet)
KL,KLM,670,2443,2024-08-31T23:30:00,YYZ,CDG,Boeing 777-300ER,Pearson Intl,Charles de Gaulle,Meals provided,"31"" seat pitch",Boeing 777-300ER (Wide-body jet)
KL,KLM,670,2332,2024-09-01T14:10:00,CDG,TUN,Airbus A321-100/200,Charles de Gaulle,Carthage,Light meal provided,,Airbus A321-100/200 (Narrow-body jet)
